Date,Temperature
2024-01-01,15.8
2024-01-02,14.9
2024-01-03,16.0
2024-01-04,17.3
2024-01-05,14.7
2024-01-06,14.7
2024-01-07,17.4
2024-01-08,16.2
2024-01-09,14.3
2024-01-10,15.8
2024-01-11,14.3
2024-01-12,14.3
2024-01-13,15.4
2024-01-14,12.2
2024-01-15,12.5
2024-01-16,14.3
2024-01-17,13.6
2024-01-18,15.6
2024-01-19,13.8
2024-01-20,13.1
2024-01-21,17.5
2024-01-22,15.0
2024-01-23,15.5
2024-01-24,13.3
2024-01-25,14.7
2024-01-26,15.7
2024-01-27,13.9
2024-01-28,16.2
2024-01-29,14.8
2024-01-30,15.4
2024-01-31,15.0
2024-02-01,18.7
2024-02-02,16.0
2024-02-03,14.5
2024-02-04,17.4
2024-02-05,14.5
2024-02-06,16.7
2024-02-07,13.6
2024-02-08,14.6
2024-02-09,17.0
2024-02-10,17.9
2024-02-11,17.2
2024-02-12,16.9
2024-02-13,16.7
2024-02-14,15.0
2024-02-15,16.3
2024-02-16,16.8
2024-02-17,19.2
2024-02-18,18.3
2024-02-19,15.3
2024-02-20,18.5
2024-02-21,17.6
2024-02-22,17.3
2024-02-23,19.4
2024-02-24,20.2
2024-02-25,20.2
2024-02-26,17.7
2024-02-27,18.6
2024-02-28,19.7
2024-02-29,20.8
2024-03-01,18.8
2024-03-02,19.4
2024-03-03,18.2
2024-03-04,18.2
2024-03-05,21.4
2024-03-06,22.4
2024-03-07,20.4
2024-03-08,22.2
2024-03-09,21.4
2024-03-10,20.1
2024-03-11,21.8
2024-03-12,23.7
2024-03-13,21.6
2024-03-14,24.2
2024-03-15,18.1
2024-03-16,23.4
2024-03-17,22.5
2024-03-18,22.1
2024-03-19,22.9
2024-03-20,20.0
2024-03-21,22.8
2024-03-22,23.9
2024-03-23,25.8
2024-03-24,23.0
2024-03-25,22.7
2024-03-26,23.4
2024-03-27,25.7
2024-03-28,25.0
2024-03-29,23.9
2024-03-30,25.7
2024-03-31,25.3
2024-04-01,26.8
2024-04-02,24.5
2024-04-03,25.3
2024-04-04,25.4
2024-04-05,24.0
2024-04-06,26.8
2024-04-07,27.0
2024-04-08,26.8
2024-04-09,26.6
2024-04-10,25.1
2024-04-11,26.8
2024-04-12,27.1
2024-04-13,26.6
2024-04-14,27.8
